Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
HD 75898,HD 75898 b,359.8,4.9,17817106400.370003,,0.110000,5.1439323e+25,
HD 76700,HD 76700 b,356.2,3.5,747989353.5,,0.090000,3.9860729999999997e+24,
HD 77338,HD 77338 b,142.5,7.7,897587224.1999999,,0.090000,1.1388779999999999e+24,
HD 79498,HD 79498 b,17.4,10.7,44580165468.6,,0.575000,2.5434942e+25,
HD 80606,HD 80606 b,135.3,7.0,,-0.71,0.930000,8.3138094e+25,7649644.0
HD 81040,HD 81040 b,78.3,1.8,29021986915.8,,0.530000,1.3799405099999998e+26,
HD 81688,HD 81688 b,14.3,14.2,12117427526.7,,0.000000,5.124951e+25,
HD 82943,HD 82943 b,90.8,1.7,17698325691.0342,0.00,0.162000,3.19075653e+25,
HD 82943,HD 82943 c,69.5,13.3,11121853697.191502,0.00,0.366300,3.71843667e+25,
HD 82886,HD 82886 b,124.2,7.8,23636463570.600002,,0.070000,4.4226429e+25,
HD 83443,HD 83443 b,330.2,4.7,598391482.8000001,,0.010000,6.453642e+24,
HD 85390,HD 85390 b,295.1,1.9,20539787647.11,,0.500000,1.8791487e+24,
HD 85512,HD 85512 b,243.5,8.4,3889544638.2000003,,0.110000,1.89813e+23,
HD 86081,HD 86081 b,325.2,11.0,517608632.622,,0.011900,2.8092324e+25,
HD 86226,HD 86226 b,283.4,1.6,42485795278.799995,,0.150000,1.7462796e+25,
HD 86264,HD 86264 b,218.2,6.3,42784991020.2,,0.700000,1.328691e+26,
HD 87883,HD 87883 b,104.9,6.1,53556037710.6,,0.530000,2.9231202e+25,
HD 88133,HD 88133 b,55.7,2.9,716573800.653,,0.031000,5.400179849999999e+24,
HD 89307,HD 89307 b,21.4,1.7,48918503718.9,,0.200000,4.0050543e+25,
HD 89744,HD 89744 b,66.4,1.6,13718124743.19,,0.677000,1.58493855e+26,
HD 90156,HD 90156 b,146.5,9.5,3739946767.5,,0.310000,1.0819341e+24,
HD 92788,HD 92788 b,41.7,1.5,14510993457.9,,0.350000,7.136968799999999e+25,
HD 93083,HD 93083 b,274.5,3.1,7135818432.389999,,0.140000,7.023081e+24,
HD 95086,HD 95086 b,313.1,13.0,833260139799.0,,,9.49065e+25,
HD 95089,HD 95089 b,154.6,1.4,20345310415.2,,0.119000,2.3916438e+25,
HD 95127,HD 95127 b,181.1,11.9,19148527449.600002,,0.110000,2.01771219e+26,
HD 96063,HD 96063 b,208.4,10.1,16605363647.7,,0.170000,2.4106251e+25,
HD 96167,HD 96167 b,42.5,12.6,19926436377.24,,0.685000,1.36095921e+25,
HD 96127,HD 96127 b,136.2,5.7,21242897639.399998,,0.300000,3.97848048e+26,
HD 97658,HD 97658 b,139.5,14.3,,-0.55,0.060000,5.6943899999999996e+23,1501332.0
HD 98219,HD 98219 b,293.8,0.7,18849331708.2,,0.079000,3.72792732e+25,
HD 98649,HD 98649 b,62.2,11.2,98285801049.90001,,0.860000,1.2888302699999999e+26,
HD 99109,HD 99109 b,220.8,10.3,16605363647.7,,0.090000,8.351772e+24,
HD 99492,HD 99492 b,98.2,0.3,1795174448.3999999,,0.250000,1.328691e+24,
HD 99706,HD 99706 b,263.8,6.5,29620378398.6,,0.250000,2.3346998999999998e+25,
HD 100546,HD 100546 b,66.0,14.6,792868714710.0,,,,49329480.0
HD 100655,HD 100655 b,112.4,9.8,10172655207.6,,0.090000,3.0559893e+25,
HD 100777,HD 100777 b,321.6,9.0,15408580682.1,,0.360000,1.9550739e+25,
HD 101930,HD 101930 b,215.4,5.2,4487936121.0,,0.110000,4.745325e+24,
HD 102117,HD 102117 b,122.0,9.9,2243968060.5,,0.120000,3.226821e+24,
HD 102195,HD 102195 b,231.7,8.8,747989353.5,,0.000000,7.782332999999999e+24,
HD 102272,HD 102272 b,173.6,8.8,7629491405.7,,0.050000,9.3767622e+25,
HD 102365,HD 102365 b,82.0,0.1,6881502052.200001,,0.340000,9.49065e+23,
HD 102329,HD 102329 b,310.4,8.5,27077214596.7,,0.210000,1.54887408e+26,
HD 102956,HD 102956 b,66.0,9.3,1207254816.549,,0.037000,1.8222047999999999e+25,
